participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.pay1,player.pay2,player.photoid,player.full_path_to_image,player.image_info,player.full_path_to_image_ex,player.image_info_ex,player.submitted,player.word,player.promotion_verbal,player.promotion_recognizability,player.promotion_originality,player.decoded,player.image_data,player.colourblindness,player.english,player.english_proficiency,player.creativity,player.difficulty,player.stereotypes,player.investment_likelihood,player.persuasiveness,player.risk_preference,player.competition,player.yourguess,player.guess_norig,player.bonus_originality,player.bonus_recognizability,player.testq,player.test_task,player.workerID,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,gp2p38io,,0,2,3,a1_intro_task,Task,2020-11-27 10:26:31.886809+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,z7tidvjg,,,,,,1
2,947guptb,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,z7tidvjg,,,,,,1
3,6yl2oron,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,z7tidvjg,,,,,,1
1,tk135oi6,,0,2,3,a1_intro_task,Task,2020-11-27 10:32:48.894736+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jdm7oksj,,,,,,1
2,mdv4c7df,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jdm7oksj,,,,,,1
3,kw7g0yn7,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jdm7oksj,,,,,,1
1,p1qiw1br,,0,2,3,a1_intro_task,Task,2020-11-27 10:46:02.345965+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jiyej8iw,,,,,,1
2,spzq9m8v,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jiyej8iw,,,,,,1
3,8cr6k0hj,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jiyej8iw,,,,,,1
1,f6q68uad,,0,2,3,a1_intro_task,Task,2020-11-27 10:46:54.437823+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,hy56rlp3,,,,,,1
2,3k8d1vtf,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,hy56rlp3,,,,,,1
3,8xx17zmy,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,hy56rlp3,,,,,,1
1,ewu08tbf,,0,2,3,a1_intro_task,Task,2020-11-27 10:49:18.717215+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,pem0wxwv,,,,,,1
2,0vq028ed,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,pem0wxwv,,,,,,1
3,1uokvuel,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,pem0wxwv,,,,,,1
1,qwz3zfq3,,0,2,3,a1_intro_task,Task,2020-11-27 10:50:03.346779+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,pve8etsl,,,,,,1
2,p6s32ax9,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,pve8etsl,,,,,,1
3,8c2d36ca,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,pve8etsl,,,,,,1
1,7piv8fmp,,0,2,3,a1_intro_task,Task,2020-11-27 10:51:16.466094+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,nij6e3oq,,,,,,1
2,dpszil1a,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,nij6e3oq,,,,,,1
3,rwhmcaja,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,nij6e3oq,,,,,,1
1,5syoe4ou,,0,2,3,a1_intro_task,Task,2020-11-27 10:51:51.234268+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,7jopd82j,,,,,,1
2,r5i48urn,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,7jopd82j,,,,,,1
3,6ltg7ufr,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,7jopd82j,,,,,,1
1,2a26i3ab,,0,2,3,a1_intro_task,Task,2020-11-27 10:52:30.642021+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,p5qkis8z,,,,,,1
2,39a9avv0,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,p5qkis8z,,,,,,1
3,1v3nywnr,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,p5qkis8z,,,,,,1
1,fdajbl15,,0,2,3,a1_intro_task,Task,2020-11-27 10:54:46.720586+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,x4clprhq,,,,,,1
2,kmjca5op,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,x4clprhq,,,,,,1
3,g86ebxcr,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,x4clprhq,,,,,,1
1,dqd27e89,,0,2,3,a1_intro_task,Task,2020-11-27 10:57:03.828881+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,w2tq2ugf,,,,,,1
2,l2fhfbfa,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,w2tq2ugf,,,,,,1
3,mqogxqzm,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,w2tq2ugf,,,,,,1
1,4zh46obw,,0,2,3,a1_intro_task,Task,2020-11-27 10:58:11.340327+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jm7qx3pf,,,,,,1
2,fow6gywo,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jm7qx3pf,,,,,,1
3,uikb87mh,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,jm7qx3pf,,,,,,1
1,kdpb0kxm,,0,2,3,a1_intro_task,Task,2020-11-27 11:21:30.260986+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,lj8mtefg,,,,,,1
2,sjf79a2j,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,lj8mtefg,,,,,,1
3,5u29z47s,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,lj8mtefg,,,,,,1
1,6mdur5bt,,0,2,3,a1_intro_task,Task,2020-11-27 11:22:15.650273+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,2ovqc7i9,,,,,,1
2,p6154ywq,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,2ovqc7i9,,,,,,1
3,1nvtplo0,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,2ovqc7i9,,,,,,1
1,gdzwtdrl,,0,2,3,a1_intro_task,Task,2020-11-27 15:34:03.878723+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,27y6jpwq,,,,,,1
2,t24k12cr,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,27y6jpwq,,,,,,1
3,zrlpy30i,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,27y6jpwq,,,,,,1
1,7cxazlcx,,0,2,3,a1_intro_task,Task,2020-11-30 08:18:42.308054+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,26sie57j,,,,,,1
2,1bfsejya,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,26sie57j,,,,,,1
3,0tc9orf6,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,26sie57j,,,,,,1
1,x9rqvys9,,0,2,3,a1_intro_task,Task,2020-11-30 08:19:26.866433+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,m5gz87x6,,,,,,1
2,ssh4vzg3,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,m5gz87x6,,,,,,1
3,18xd2dug,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,m5gz87x6,,,,,,1
1,w2605zat,,0,3,3,a1_intro_task,Promotion,2020-11-30 08:21:03.957016+00:00,1,,,0.00,1,,,,C:\Users\Roemer\Seafile\wipol-hilfskraefte\programming_experiments\promoting-inno-online - innovators - final\_static\1xc3w7yxu.png,1xc3w7yxu,,,,dsad,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,xc3w7yxu,,,,,,1
2,fhaimq10,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,xc3w7yxu,,,,,,1
